K,MAE,R2
2,1.5998538616629316,0.11526493498641155
3,1.5838684556176759,0.14069396816115243
4,1.5597229599017293,0.1548117156079234
5,1.5201158749267976,0.1925640743359145
6,1.424889671228763,0.2869646165221891
7,1.369705234537489,0.3422685390662299
8,1.357132796820963,0.37489410915010135
9,1.4570172027522676,0.4137655850571099
10,1.6735690994155499,0.29905878070573
11,1.8565280852431416,0.1736831135325536
12,1.7920976991034265,0.24716702983204308
13,1.775507681220623,0.26357426598734246
14,1.7437244322484218,0.29488686657960206
15,1.7246639584694354,0.3202289921163318
16,1.6966745624394406,0.3466657882489512
17,1.700068953899043,0.3532500278096494
18,1.7845238508161168,0.29395401214749783
19,1.8396995931452367,0.2551958456523796
20,1.8602322752242486,0.24230806363059054
21,1.9415200803657724,0.1780710151244118
22,2.0130460718398484,0.11153011845455296
23,2.0940416872710244,0.04416449734824157
24,2.099059140002697,0.03965309756850366
25,2.18530888020678,-0.0328880277982837
