year;month;total;food;non_food;services;month_num
1991;январь;106,2;104,6;109;103,2;1
1991;февраль;104,8;103,1;105,9;105,2;2
1991;март;106,3;105,2;104,6;105,5;3
1991;апрель;163,5;171,8;170,5;121,5;4
1991;май;103;100,5;105,4;103,9;5
1991;июнь;101,2;99,7;102,2;103,5;6
1991;июль;100,6;97,2;102,8;104,4;7
1991;август;100,5;96,6;104,1;101,9;8
1991;сентябрь;101,1;98,1;103,9;101,8;9
1991;октябрь;103,5;102,3;105;102,6;10
1991;ноябрь;108,9;110,6;108,6;103,9;11
1991;декабрь;112,1;116,1;110,5;103,4;12
1991;декабрь;112,1;116,1;110,5;178,8;12
1991;декабрь;112,1;116,1;310,7;103,4;12
1991;декабрь;112,1;116,1;310,7;178,8;12
1991;декабрь;112,1;236,1;110,5;103,4;12
1991;декабрь;112,1;236,1;110,5;178,8;12
1991;декабрь;112,1;236,1;310,7;103,4;12
1991;декабрь;112,1;236,1;310,7;178,8;12
1991;декабрь;260,4;116,1;110,5;103,4;12
1991;декабрь;260,4;116,1;110,5;178,8;12
1991;декабрь;260,4;116,1;310,7;103,4;12
1991;декабрь;260,4;116,1;310,7;178,8;12
1991;декабрь;260,4;236,1;110,5;103,4;12
1991;декабрь;260,4;236,1;110,5;178,8;12
1991;декабрь;260,4;236,1;310,7;103,4;12
1991;декабрь;260,4;236,1;310,7;178,8;12
1992;январь;345,3;405,1;311,1;230;1
1992;февраль;138;129,8;147,6;140;2
1992;март;129,9;123;141,9;118;3
1992;апрель;121,7;116,11;125,4;131,2;4
1992;май;111,9;110,7;111,8;117,8;5
1992;июнь;119,1;120;112,1;139,1;6
1992;июль;110,6;108,9;109,8;120,8;7
1992;август;108,6;107,49;110,3;110,52;8
1992;сентябрь;111,5;112,8;112,8;110,9;9
1992;октябрь;122,9;124,7;119,9;128,88;10
1992;ноябрь;126,1;127,3;125,6;122,6;11
1992;декабрь;125,2;125,6;126,9;116,2;12
1992;декабрь;125,2;125,6;126,9;2220,52;12
1992;декабрь;125,2;125,6;2673,44;116,2;12
1992;декабрь;125,2;125,6;2673,44;2220,52;12
1992;декабрь;125,2;2626,2;126,9;116,2;12
1992;декабрь;125,2;2626,2;126,9;2220,52;12
1992;декабрь;125,2;2626,2;2673,44;116,2;12
1992;декабрь;125,2;2626,2;2673,44;2220,52;12
1992;декабрь;2608,84;125,6;126,9;116,2;12
1992;декабрь;2608,84;125,6;126,9;2220,52;12
1992;декабрь;2608,84;125,6;2673,44;116,2;12
1992;декабрь;2608,84;125,6;2673,44;2220,52;12
1992;декабрь;2608,84;2626,2;126,9;116,2;12
1992;декабрь;2608,84;2626,2;126,9;2220,52;12
1992;декабрь;2608,84;2626,2;2673,44;116,2;12
1992;декабрь;2608,84;2626,2;2673,44;2220,52;12
1993;январь;125,8;129;116,31;150;1
1993;февраль;124,7;124,78;122,81;132;2
1993;март;120,1;118,3;120,62;128,79;3
1993;апрель;118,7;116,1;117,82;140;4
1993;май;118,1;116,2;115,47;134,8;5
1993;июнь;119,9;122,7;116,45;117,3;6
1993;июль;122,39;122,51;119,22;129,29;7
1993;август;126;122,57;121,02;149,78;8
1993;сентябрь;123;123,7;122,32;124,8;9
1993;октябрь;119,5;118,5;119,33;124,3;10
1993;ноябрь;116,39;115,89;115,62;123;11
1993;декабрь;112,5;112,54;111,61;115,6;12
1993;декабрь;112,5;112,54;111,61;2411,2;12
1993;декабрь;112,5;112,54;741,8;115,6;12
1993;декабрь;112,5;112,54;741,8;2411,2;12
1993;декабрь;112,5;904,9;111,61;115,6;12
1993;декабрь;112,5;904,9;111,61;2411,2;12
1993;декабрь;112,5;904,9;741,8;115,6;12
1993;декабрь;112,5;904,9;741,8;2411,2;12
1993;декабрь;939,9;112,54;111,61;115,6;12
1993;декабрь;939,9;112,54;111,61;2411,2;12
1993;декабрь;939,9;112,54;741,8;115,6;12
1993;декабрь;939,9;112,54;741,8;2411,2;12
1993;декабрь;939,9;904,9;111,61;115,6;12
1993;декабрь;939,9;904,9;111,61;2411,2;12
1993;декабрь;939,9;904,9;741,8;115,6;12
1993;декабрь;939,9;904,9;741,8;2411,2;12
1994;январь;117,9;121;110,7;137,72;1
1994;февраль;110,82;110,6;108,92;121,52;2
1994;март;107,41;105,8;107,7;116,82;3
1994;апрель;108,49;105,6;107,22;131,82;4
1994;май;106,91;106,8;105,45;112,72;5
1994;июнь;106;105,6;105;111,41;6
1994;июль;105,33;103,8;105;113,3;7
1994;август;104,62;102,69;105,6;109,92;8
1994;сентябрь;107,96;106,9;107,4;113,4;9
1994;октябрь;115;115,3;116,4;110,52;10
1994;ноябрь;114,61;117,28;112,5;110,5;11
1994;декабрь;116,44;120,9;111,9;111,5;12
1994;декабрь;116,44;120,9;111,9;622,4;12
1994;декабрь;116,44;120,9;269;111,5;12
1994;декабрь;116,44;120,9;269;622,4;12
1994;декабрь;116,44;314,13;111,9;111,5;12
1994;декабрь;116,44;314,13;111,9;622,4;12
1994;декабрь;116,44;314,13;269;111,5;12
1994;декабрь;116,44;314,13;269;622,4;12
1994;декабрь;315,14;120,9;111,9;111,5;12
1994;декабрь;315,14;120,9;111,9;622,4;12
1994;декабрь;315,14;120,9;269;111,5;12
1994;декабрь;315,14;120,9;269;622,4;12
1994;декабрь;315,14;314,13;111,9;111,5;12
1994;декабрь;315,14;314,13;111,9;622,4;12
1994;декабрь;315,14;314,13;269;111,5;12
1994;декабрь;315,14;314,13;269;622,4;12
1995;январь;117,77;121,05;111,97;122,68;1
1995;февраль;111,02;110,27;109,79;119,34;2
1995;март;108,94;108,46;109,17;110,48;3
1995;апрель;108,47;107,52;108,72;112,22;4
1995;май;107,93;108,83;105,56;111,15;5
1995;июнь;106,66;107,56;104,58;108,73;6
1995;июль;105,38;104,47;105,29;109,68;7
1995;август;104,56;102,72;106,24;107,86;8
1995;сентябрь;104,46;102,76;106,04;107,1;9
1995;октябрь;104,72;103,41;105,05;108,91;10
1995;ноябрь;104,56;103,96;104,63;106,61;11
1995;декабрь;103,2;103,4;103,01;102,95;12
1995;декабрь;103,2;103,4;103,01;332,21;12
1995;декабрь;103,2;103,4;216,3;102,95;12
1995;декабрь;103,2;103,4;216,3;332,21;12
1995;декабрь;103,2;223,36;103,01;102,95;12
1995;декабрь;103,2;223,36;103,01;332,21;12
1995;декабрь;103,2;223,36;216,3;102,95;12
1995;декабрь;103,2;223,36;216,3;332,21;12
1995;декабрь;231,3;103,4;103,01;102,95;12
1995;декабрь;231,3;103,4;103,01;332,21;12
1995;декабрь;231,3;103,4;216,3;102,95;12
1995;декабрь;231,3;103,4;216,3;332,21;12
1995;декабрь;231,3;223,36;103,01;102,95;12
1995;декабрь;231,3;223,36;103,01;332,21;12
1995;декабрь;231,3;223,36;216,3;102,95;12
1995;декабрь;231,3;223,36;216,3;332,21;12
1996;январь;104,11;103,95;102,69;108,05;1
1996;февраль;102,79;102,4;102,2;105,64;2
1996;март;102,8;102,92;101,86;104,3;3
1996;апрель;102,16;101,84;101,37;105,01;4
1996;май;101,6;101,66;101,18;102,16;5
1996;июнь;101,17;101,2;101,12;101,13;6
1996;июль;100,72;100,21;100,91;102,31;7
1996;август;99,79;98,31;101,13;102,71;8
1996;сентябрь;100,33;99,52;101,17;101,61;9
1996;октябрь;101,2;100,4;101,23;103,93;10
1996;ноябрь;101,88;102,15;100,93;102,72;11
1996;декабрь;101,42;101,99;100,72;100,8;12
1996;декабрь;101,42;101,99;100,72;148,38;12
1996;декабрь;101,42;101,99;117,82;100,8;12
1996;декабрь;101,42;101,99;117,82;148,38;12
1996;декабрь;101,42;117,72;100,72;100,8;12
1996;декабрь;101,42;117,72;100,72;148,38;12
1996;декабрь;101,42;117,72;117,82;100,8;12
1996;декабрь;101,42;117,72;117,82;148,38;12
1996;декабрь;121,81;101,99;100,72;100,8;12
1996;декабрь;121,81;101,99;100,72;148,38;12
1996;декабрь;121,81;101,99;117,82;100,8;12
1996;декабрь;121,81;101,99;117,82;148,38;12
1996;декабрь;121,81;117,72;100,72;100,8;12
1996;декабрь;121,81;117,72;100,72;148,38;12
1996;декабрь;121,81;117,72;117,82;100,8;12
1996;декабрь;121,81;117,72;117,82;148,38;12
1997;январь;102,34;103,05;100,99;102,34;1
1997;февраль;101,54;101,42;100,59;103,59;2
1997;март;101,43;101,42;100,82;102,48;3
1997;апрель;100,96;100,98;100,53;101,58;4
1997;май;100,94;100,81;100,57;101,97;5
1997;июнь;101,1;101,47;100,45;101;6
1997;июль;100,93;100,79;100,38;102,27;7
1997;август;99,86;99,14;100,55;101,05;8
1997;сентябрь;99,7;98,64;100,82;101,21;9
