Feature,Importance
total_lag1,0.6697033402463011
total_lag2,0.04705470810096666
year,0.045026112323943115
non_food_lag2,0.0418611214102687
food_lag3,0.040072928139448294
month_sin,0.022587265975068722
month_num,0.02132117753563706
non_food_lag1,0.020413309551219345
food_lag1,0.01997618936363238
month_cos,0.018734166718835543
food_lag2,0.01589360432806135
services_lag1,0.010365416377526268
services_lag3,0.010108326516314048
non_food_lag3,0.006295844853252822
total_lag3,0.005814612397344127
services_lag2,0.004771876162180553
